alg,delay_ms,n,mean,sd,ci95_half,ci95_low,ci95_high
cubic,10,8,1279.75,649.2317987987253,542.7713666493231,736.9786333506769,1822.5213666493232
cubic,50,8,0.582825,0.6892281101762631,0.5762091197407243,0.00661588025927573,1.1590341197407243
reno,10,8,535.25,263.1201518046732,219.97395175690556,315.27604824309446,755.2239517569055
reno,50,8,0.4605,0.30765704468264193,0.2572077259780968,0.2032922740219032,0.7177077259780968
