alg,delay_ms,n,mean,sd,ci95_half,ci95_low,ci95_high
cubic,10,8,0.001889707189777625,0.001136571938776623,0.0009501979195204349,0.0009395092702571902,0.00283990510929806
cubic,50,8,0.06678217635327736,0.05575922814649224,0.046615881292908744,0.02016629506036862,0.1133980576461861
reno,10,8,0.0019330241967308126,0.0006277753400618903,0.0005248333182456632,0.0014081908784851493,0.002457857514976476
reno,50,8,0.07765950003685321,0.026482513551424728,0.022139935380879622,0.05551956465597359,0.09979943541773283
