alg,delay_ms,n,mean,sd,ci95_half,ci95_low,ci95_high,median,pct_retrans_gt0,n_dados_sum,n_retrans_sum,R_agg
cubic,10,8,0.001889707189777625,0.001136571938776623,0.0009501979195204349,0.0009395092702571902,0.00283990510929806,0.0015062899124357499,100.0,491915,708,0.0014392730451399125
cubic,50,8,0.06678217635327736,0.05575922814649224,0.046615881292908744,0.02016629506036862,0.1133980576461861,0.06399389780726181,100.0,6821,256,0.037531153789766895
reno,10,8,0.0019330241967308126,0.0006277753400618903,0.0005248333182456632,0.0014081908784851493,0.002457857514976476,0.0017660372963604499,100.0,436267,811,0.0018589533473767211
reno,50,8,0.07765950003685321,0.026482513551424728,0.022139935380879622,0.05551956465597359,0.09979943541773283,0.0772439545795274,100.0,6042,412,0.06818934127772261
